CircleName,RegionName,DivisionName,OfficeName,Pincode,OfficeType,Delivery,District,StateName,Latitude,Longitude
Madhya Pradesh Circle,Jabalpur Region,Balaghat Division,Manegaon B.O,481445,BO,Delivery,BALAGHAT,MADHYA PRADESH,20.944966,76.464262
Madhya Pradesh Circle,Jabalpur Region,Balaghat Division,Bhandarbodi B.O,481337,BO,Delivery,BALAGHAT,MADHYA PRADESH,21.007418,79.398642
Madhya Pradesh Circle,Jabalpur Region,Balaghat Division,Kandrikala B.O,481115,BO,Delivery,BALAGHAT,MADHYA PRADESH,21.661451,79.568773
Madhya Pradesh Circle,Jabalpur Region,Balaghat Division,Jam B.O,481441,BO,Delivery,BALAGHAT,MADHYA PRADESH,22.928591,79.061681
Madhya Pradesh Circle,Jabalpur Region,Balaghat Division,Ghunadi B.O,481551,BO,Delivery,BALAGHAT,MADHYA PRADESH,21.814148,79.84368
Kerala Circle,DivReportingCircle,Trivandrum North Division,Kulamuttam BO,695144,BO,Delivery,THIRUVANANTHAPURAM,KERALA,76.77,8.71
Kerala Circle,DivReportingCircle,Trivandrum North Division,Maruthikunnu BO,695603,BO,Delivery,THIRUVANANTHAPURAM,KERALA,8.796335,76.800156
Kerala Circle,DivReportingCircle,Trivandrum North Division,Kaikara BO,695307,BO,Delivery,THIRUVANANTHAPURAM,KERALA,8.683194,76.748802
Kerala Circle,DivReportingCircle,Trivandrum North Division,Moothala BO,695604,BO,Delivery,THIRUVANANTHAPURAM,KERALA,8.840706,76.80872
Kerala Circle,DivReportingCircle,Trivandrum North Division,Sasthavattom BO,695305,BO,Delivery,THIRUVANANTHAPURAM,KERALA,76.83,8.64
Kerala Circle,DivReportingCircle,Trivandrum North Division,Panayara BO,695145,BO,Delivery,THIRUVANANTHAPURAM,KERALA,76.75,8.76
Kerala Circle,DivReportingCircle,Trivandrum North Division,Karimanal BO,695583,BO,Delivery,THIRUVANANTHAPURAM,KERALA,8.52,76.89
Kerala Circle,DivReportingCircle,Trivandrum North Division,Chakkai BO,695024,BO,Non Delivery,THIRUVANANTHAPURAM,KERALA,8.49,76.92
Kerala Circle,DivReportingCircle,Trivandrum North Division,Pandalacode BO,695028,BO,Delivery,THIRUVANANTHAPURAM,KERALA,8.61,76.93
Kerala Circle,DivReportingCircle,Pathanamthitta Division,Kozhencherry East BO,689641,BO,Delivery,PATHANAMTHITTA,KERALA,9.33,76.72
Kerala Circle,DivReportingCircle,Pathanamthitta Division,Melood BO,691554,BO,Delivery,PATHANAMTHITTA,KERALA,9.16,76.7
Kerala Circle,DivReportingCircle,Pathanamthitta Division,Karikayam BO,689663,BO,Delivery,PATHANAMTHITTA,KERALA,9.33,76.91
Kerala Circle,DivReportingCircle,Tiruvalla Division,Kadapra Mannar BO,689621,BO,Delivery,PATHANAMTHITTA,KERALA,9.331895,76.508537
